"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 20:12:54 IST 2024","Wed Jun 19 20:12:55 IST 2024","1030","","example.spec.js","","","","get started link",""
"passed","Wed Jun 19 20:12:49 IST 2024","Wed Jun 19 20:12:54 IST 2024","5291","","example.spec.js","","","","has title",""
